                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98494,                0.96104,                  1.326,                0.81462,                 0.7257,                0.81165,                0.54756,                 1.0668,                0.90301,                 1.3367,              0.0013466,              0.0013466,              0.0013466
                     36,                0.96241,                 0.9506,                 1.3021,                 0.7956,                0.72817,                0.80368,                0.54835,                 1.0477,                0.92791,                 1.3148,              0.0013268,              0.0013268,              0.0013268
                     37,                0.95294,                0.92496,                 1.3048,                0.82001,                0.71799,                0.81001,                 0.5457,                 1.0747,                0.91263,                 1.3537,               0.001307,               0.001307,               0.001307
                     38,                0.95873,                0.92946,                 1.2951,                0.80365,                0.74764,                0.81902,                0.55262,                 1.0522,                0.89096,                 1.3189,              0.0012872,              0.0012872,              0.0012872
                     39,                0.94678,                0.92029,                 1.2903,                0.82373,                0.72817,                0.81178,                0.54983,                 1.0657,                0.89711,                  1.326,              0.0012674,              0.0012674,              0.0012674
                     40,                0.94557,                0.91688,                 1.2934,                0.81898,                0.74452,                0.82369,                0.56496,                 1.0264,                0.85681,                 1.3052,              0.0012476,              0.0012476,              0.0012476
                     41,                0.92695,                0.88981,                 1.2818,                0.83719,                 0.7399,                0.82552,                0.56582,                 1.0151,                 0.8618,                 1.2946,              0.0012278,              0.0012278,              0.0012278
                     42,                0.93485,                0.88062,                  1.283,                0.81918,                0.75717,                0.83015,                0.56048,                 1.0577,                0.84825,                 1.3289,               0.001208,               0.001208,               0.001208
                     43,                0.92467,                0.87488,                 1.2754,                0.81717,                0.75069,                0.82304,                0.56427,                 1.0316,                 0.8618,                 1.3082,              0.0011882,              0.0011882,              0.0011882
                     44,                0.90369,                 0.8579,                 1.2622,                0.82238,                0.74607,                0.82224,                0.56026,                 1.0382,                0.85167,                 1.3146,              0.0011684,              0.0011684,              0.0011684
                     45,                 0.8976,                0.85573,                 1.2592,                0.81188,                0.74036,                0.81825,                0.55168,                 1.0698,                0.86167,                 1.3348,              0.0011486,              0.0011486,              0.0011486
                     46,                0.89717,                0.84988,                 1.2584,                0.80642,                 0.7545,                0.82271,                0.56712,                 1.0225,                0.84593,                 1.2994,              0.0011288,              0.0011288,              0.0011288
                     47,                0.88846,                0.83991,                 1.2507,                0.83981,                0.73681,                0.82684,                0.56378,                 1.0311,                0.83655,                 1.3056,               0.001109,               0.001109,               0.001109
                     48,                0.88402,                0.82794,                 1.2472,                0.82783,                0.74761,                0.82663,                0.57022,                 1.0297,                0.82271,                 1.3029,              0.0010892,              0.0010892,              0.0010892
                     49,                0.87028,                0.81643,                 1.2413,                0.81712,                0.75902,                0.82453,                0.56986,                 1.0227,                 0.8323,                 1.3068,              0.0010694,              0.0010694,              0.0010694
                     50,                0.88566,                 0.8315,                  1.255,                0.82567,                0.74792,                0.82378,                0.56562,                 1.0357,                0.82268,                 1.3174,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.8698,                0.81559,                 1.2373,                0.81519,                0.75687,                0.82879,                 0.5765,                 1.0192,                0.82649,                 1.3048,              0.0010298,              0.0010298,              0.0010298
                     52,                0.87195,                0.79974,                  1.237,                0.85076,                0.74402,                0.83057,                0.57475,                  1.023,                 0.8179,                 1.3049,                0.00101,                0.00101,                0.00101
                     53,                0.85285,                0.78206,                  1.225,                 0.8314,                 0.7562,                0.83355,                0.57871,                 1.0099,                0.80584,                 1.2928,              0.0009902,              0.0009902,              0.0009902
                     54,                0.85122,                 0.7726,                 1.2222,                0.83944,                0.76626,                0.84107,                 0.5886,                 1.0044,                0.78144,                 1.2916,              0.0009704,              0.0009704,              0.0009704
                     55,                0.82315,                 0.7567,                 1.2048,                0.83909,                0.75619,                0.83174,                0.58115,                 1.0033,                 0.7838,                  1.298,              0.0009506,              0.0009506,              0.0009506
                     56,                 0.8402,                0.76031,                   1.22,                0.83596,                0.76674,                0.83444,                0.57661,                 1.0229,                0.78451,                 1.3188,              0.0009308,              0.0009308,              0.0009308
                     57,                0.83664,                0.76078,                 1.2094,                 0.8286,                0.77013,                0.83518,                0.58087,                 1.0138,                0.78813,                 1.3054,               0.000911,               0.000911,               0.000911
                     58,                0.82892,                0.73773,                 1.2025,                0.84333,                0.75563,                0.83918,                0.58206,                  1.022,                0.77551,                 1.3134,              0.0008912,              0.0008912,              0.0008912
                     59,                0.81826,                0.72954,                  1.197,                0.82997,                0.75606,                0.83356,                0.57425,                 1.0223,                0.79372,                 1.3112,              0.0008714,              0.0008714,              0.0008714
                     60,                0.80808,                0.73409,                 1.2007,                0.83617,                0.76088,                0.83675,                0.58016,                 1.0159,                 0.7923,                 1.3063,              0.0008516,              0.0008516,              0.0008516
                     61,                0.80216,                0.72197,                  1.189,                0.85182,                0.74884,                0.83164,                0.58156,                 1.0037,                0.79672,                 1.2965,              0.0008318,              0.0008318,              0.0008318
                     62,                0.80432,                0.70063,                 1.1894,                0.82751,                0.75841,                0.82803,                0.57408,                 1.0245,                0.78951,                 1.3119,               0.000812,               0.000812,               0.000812
                     63,                0.78526,                0.70021,                 1.1871,                0.82914,                0.76643,                0.83604,                0.58362,                 1.0108,                0.77857,                 1.3008,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.7691,                 0.6855,                 1.1716,                0.82554,                0.77044,                0.83179,                0.57859,                 1.0143,                 0.7703,                 1.3209,              0.0007724,              0.0007724,              0.0007724
                     65,                0.77721,                0.69344,                 1.1751,                0.83487,                0.77373,                0.83937,                 0.5883,                 1.0085,                0.75835,                 1.3041,              0.0007526,              0.0007526,              0.0007526
                     66,                0.76615,                0.67368,                 1.1723,                0.83211,                0.77531,                0.84195,                0.58856,                 1.0122,                0.75441,                 1.3058,              0.0007328,              0.0007328,              0.0007328
