                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0427,                0.98849,                 1.2735,                0.81854,                 0.7154,                0.80193,                0.52162,                 1.1268,                0.95089,                 1.2766,              0.0013466,              0.0013466,              0.0013466
                     36,                  1.027,                0.97923,                 1.2567,                0.81283,                0.73026,                0.80895,                0.54411,                 1.0757,                0.91954,                 1.2448,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0159,                0.97154,                 1.2596,                0.81931,                 0.7149,                 0.8003,                0.53469,                  1.101,                0.92829,                 1.2584,               0.001307,               0.001307,               0.001307
                     38,                 1.0092,                0.96798,                 1.2561,                0.81801,                0.72116,                0.79915,                0.53718,                 1.0931,                0.92846,                 1.2587,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0157,                0.96633,                 1.2511,                0.83723,                0.71213,                0.80417,                0.53769,                 1.0902,                0.91124,                 1.2518,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0243,                0.95859,                 1.2567,                0.82521,                0.71953,                 0.8087,                0.55079,                 1.0747,                0.90333,                 1.2354,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0023,                0.95458,                 1.2521,                0.80951,                0.71459,                0.79601,                0.53085,                 1.0994,                0.90675,                 1.2621,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0059,                0.94692,                 1.2449,                0.83232,                0.72133,                0.80886,                0.54361,                 1.0941,                0.88743,                 1.2527,               0.001208,               0.001208,               0.001208
                     43,                0.99357,                0.92827,                 1.2374,                0.81927,                 0.7294,                0.80645,                0.54453,                 1.0688,                0.90896,                 1.2332,              0.0011882,              0.0011882,              0.0011882
                     44,                0.97384,                0.92775,                 1.2312,                0.82575,                0.71799,                0.80984,                0.54487,                 1.0727,                0.89125,                 1.2435,              0.0011684,              0.0011684,              0.0011684
                     45,                0.97465,                 0.9177,                 1.2218,                 0.8284,                0.73403,                0.81723,                0.55691,                 1.0595,                0.86807,                 1.2287,              0.0011486,              0.0011486,              0.0011486
                     46,                0.98261,                0.92159,                 1.2404,                0.84845,                0.71706,                0.80823,                0.54791,                 1.0621,                0.88261,                 1.2297,              0.0011288,              0.0011288,              0.0011288
                     47,                0.97874,                0.90351,                 1.2263,                0.82214,                0.74175,                  0.819,                0.56026,                   1.05,                0.85857,                  1.228,               0.001109,               0.001109,               0.001109
                     48,                0.96948,                0.92063,                 1.2252,                0.81873,                0.74792,                0.81853,                0.56057,                 1.0573,                 0.8594,                 1.2338,              0.0010892,              0.0010892,              0.0010892
                     49,                0.96875,                0.89728,                 1.2208,                0.81671,                0.74298,                0.81224,                0.55736,                 1.0615,                0.85263,                 1.2369,              0.0010694,              0.0010694,              0.0010694
                     50,                0.95171,                0.87398,                 1.2156,                0.82359,                0.74617,                0.82087,                0.56813,                   1.04,                0.84888,                 1.2173,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.9617,                0.88083,                 1.2139,                0.83253,                0.73434,                0.81389,                0.54781,                 1.0752,                 0.8672,                 1.2366,              0.0010298,              0.0010298,              0.0010298
                     52,                0.96125,                0.88342,                 1.2179,                0.84365,                0.72632,                0.81966,                0.55513,                 1.0712,                0.85226,                 1.2443,                0.00101,                0.00101,                0.00101
                     53,                0.94855,                0.86468,                 1.2052,                0.82544,                0.73465,                0.81708,                0.55988,                 1.0636,                 0.8415,                 1.2432,              0.0009902,              0.0009902,              0.0009902
                     54,                0.93677,                0.86082,                 1.1959,                0.84675,                0.71737,                0.81438,                0.55811,                 1.0617,                0.86418,                 1.2324,              0.0009704,              0.0009704,              0.0009704
                     55,                0.93483,                0.84228,                 1.1948,                0.83543,                0.74089,                0.82364,                0.56415,                 1.0573,                0.83535,                 1.2224,              0.0009506,              0.0009506,              0.0009506
                     56,                0.93472,                0.85203,                 1.1899,                0.85933,                0.72478,                0.82406,                 0.5679,                 1.0396,                0.83164,                 1.2164,              0.0009308,              0.0009308,              0.0009308
                     57,                0.93391,                0.84056,                 1.1966,                0.84576,                0.74421,                0.82603,                0.56344,                 1.0588,                0.82667,                 1.2268,               0.000911,               0.000911,               0.000911
                     58,                0.92392,                0.83102,                 1.1926,                0.83651,                0.74175,                0.82225,                0.56997,                 1.0457,                0.82398,                 1.2223,              0.0008912,              0.0008912,              0.0008912
                     59,                 0.9166,                 0.8225,                 1.1836,                0.84085,                0.72703,                 0.8147,                0.56091,                 1.0499,                0.83927,                 1.2258,              0.0008714,              0.0008714,              0.0008714
                     60,                  0.911,                0.82524,                 1.1872,                0.83743,                0.74699,                0.82425,                0.57124,                 1.0415,                0.81709,                 1.2151,              0.0008516,              0.0008516,              0.0008516
                     61,                0.91133,                0.82002,                  1.184,                0.83862,                0.74718,                0.82511,                0.56926,                 1.0369,                 0.8363,                 1.2215,              0.0008318,              0.0008318,              0.0008318
                     62,                0.92451,                0.82455,                 1.1886,                0.82407,                0.76643,                0.82878,                 0.5718,                 1.0528,                0.80287,                 1.2259,               0.000812,               0.000812,               0.000812
                     63,                0.89785,                0.79539,                  1.175,                0.83877,                0.75069,                0.82683,                0.56674,                 1.0616,                0.82311,                  1.228,              0.0007922,              0.0007922,              0.0007922
                     64,                0.89278,                0.78887,                 1.1638,                0.83675,                0.75277,                0.82796,                0.57032,                 1.0388,                0.80775,                 1.2094,              0.0007724,              0.0007724,              0.0007724
                     65,                0.88654,                0.79296,                 1.1725,                0.83666,                0.75501,                0.83021,                0.57633,                 1.0369,                0.80813,                 1.2135,              0.0007526,              0.0007526,              0.0007526
