                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1798,                0.50533,                0.91298,                0.97434,                0.89869,                0.97184,                0.53547,                 1.5566,                0.59655,                 1.0338,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.139,                0.49068,                0.90183,                0.94872,                0.92412,                0.96603,                0.55758,                 1.4791,                0.59189,                 1.0027,               0.001307,               0.001307,               0.001307
                     37,                 1.1696,                0.50077,                0.91726,                0.94021,                0.91617,                0.96369,                0.55245,                 1.4822,                0.62328,                 1.0053,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1458,                0.50007,                0.90826,                0.94512,                0.92849,                0.96957,                0.55087,                 1.4891,                0.57373,                 1.0134,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1385,                0.49677,                0.90731,                0.94977,                0.92729,                0.97191,                 0.5667,                 1.4623,                0.57528,                 1.0011,              0.0012476,              0.0012476,              0.0012476
                     40,                   1.14,                0.48813,                0.91252,                0.94437,                0.92491,                0.97043,                0.57073,                 1.4251,                0.59008,                0.98521,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1318,                0.49041,                 0.9126,                0.96646,                0.88319,                0.96166,                 0.5382,                 1.5055,                0.62439,                 1.0147,               0.001208,               0.001208,               0.001208
                     42,                 1.1288,                0.48611,                0.90658,                0.94941,                0.87803,                0.94972,                0.56467,                 1.4361,                0.65194,                0.98973,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1218,                 0.4886,                0.90536,                0.95171,                0.87008,                0.94423,                 0.5673,                 1.4381,                0.67315,                0.98959,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0955,                0.48112,                0.89925,                0.97816,                0.87177,                0.94584,                0.56638,                 1.4368,                0.65311,                0.99084,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0981,                0.47059,                0.89891,                  0.982,                0.88853,                0.94066,                0.52873,                 1.5038,                0.62179,                 1.0162,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0706,                0.46368,                0.89214,                0.97576,                0.90226,                0.94907,                0.53303,                 1.5014,                0.59914,                 1.0149,               0.001109,               0.001109,               0.001109
                     47,                 1.0777,                0.46584,                0.89279,                0.97354,                0.89163,                0.94229,                0.51806,                 1.4955,                0.60621,                 1.0177,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.082,                 0.4697,                0.90758,                  0.956,                0.88876,                 0.9361,                0.50653,                 1.5252,                0.63222,                 1.0316,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0927,                0.47251,                0.90262,                0.95461,                0.90266,                0.94646,                0.53429,                 1.4581,                0.59812,                  1.005,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.058,                  0.461,                0.89175,                0.95743,                 0.9122,                0.95937,                0.52879,                  1.516,                 0.5807,                 1.0265,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0817,                0.46485,                 0.8924,                0.95089,                0.93683,                0.96888,                0.54795,                 1.4993,                0.57037,                 1.0169,                0.00101,                0.00101,                0.00101
                     52,                 1.0603,                0.45718,                0.91532,                0.96279,                0.92522,                0.96742,                0.56295,                 1.4592,                0.56713,                0.99854,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0786,                0.46087,                0.89363,                0.96192,                0.90862,                0.96798,                0.55375,                  1.516,                0.57906,                 1.0164,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0526,                0.45758,                0.89725,                0.95979,                0.91538,                0.96743,                0.56137,                 1.4603,                0.58474,                0.99733,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0474,                0.45827,                 0.8891,                0.96099,                   0.92,                0.97136,                0.55237,                  1.516,                0.57474,                 1.0162,              0.0009308,              0.0009308,              0.0009308
